Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
KM821803,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7275,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821804,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3392,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821805,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7270,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821806,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3394,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821807,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7278,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821808,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3395,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821809,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7286,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821810,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3400,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821811,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7284,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821812,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3401,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821813,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7290,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821814,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3397,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821815,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3389,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821816,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3397,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821817,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7290,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821818,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3402,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821819,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7284,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821820,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3401,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821821,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7261,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821822,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3397,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821823,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7325,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821824,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3395,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821825,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7296,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821826,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3398,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821827,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7293,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821828,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3400,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821829,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7241,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821830,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3392,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821831,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7267,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821832,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3393,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2011,2014-10-14,ssRNA(+/-)
KM821833,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3395,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821834,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7208,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821835,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3397,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821836,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7218,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821837,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3402,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821838,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7296,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821839,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3402,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821840,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7286,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821841,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3400,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821842,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7132,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821843,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3371,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821844,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7281,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821845,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3390,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821846,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7272,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821847,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3396,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821848,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3380,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821849,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7286,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821850,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3400,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821851,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7296,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821852,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3391,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821853,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7164,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821854,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3361,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821855,Mammarenavirus lassaense,Mammarenavirus lassaense,,,L,7246,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
KM821856,Mammarenavirus lassaense,Mammarenavirus lassaense,,,S,3402,partial,Sierra Leone,Sierra Leone,Homo sapiens,,"Andersen,K.G., Shapiro,B.J., Matranga,C.B., Gire,S.K., Sealfon,R., England,E.M., Winnicki,S., Moses,L.M., Stremlau,M., Folarin,O., Odia,I., Ehiane,P., Goba,A., Momoh,M., Gnirke,A., Birren,B., Hensley,L., Levin,J.Z., Happi,C.T., Garry,R.F., Sabeti,P.C.",2012,2014-10-14,ssRNA(+/-)
